scientific name,English name,number of people seeing species
Margaroperdix madagarensis,Madagascar Partridge,0
Coturnix japonica,Japanese Quail,2
Coturnix coturnix,Common Quail,11
Coturnix delegorguei,Harlequin Quail,2
Coturnix coromandelica,Rain Quail,2
Coturnix pectoralis,Stubble Quail,2
Coturnix novaezelandiae,New Zealand Quail,0
Alectoris graeca,Rock Partridge,1
Alectoris chukar,Chukar,26
Alectoris philbyi,Philby's Partridge,0
Alectoris magna,Przevalski's Partridge,0
Alectoris rufa,Red-legged Partridge,11
Alectoris melanocephala,Arabian Partridge,0
Alectoris barbara,Barbary Partridge,2
Tetraogallus caucasicus,Caucasian Snowcock,2
Tetraogallus caspius,Caspian Snowcock,0
Tetraogallus altaicus,Altai Snowcock,0
Tetraogallus tibetanus,Tibetan Snowcock,2
Tetraogallus himalayensis,Himalayan Snowcock,2
Perdicula asiatica,Jungle Bush-Quail,1
Perdicula argoondah,Rock Bush-Quail,1
Perdicula erythrorhyncha,Painted Bush-Quail,1
Perdicula manipurensis,Manipur Bush-Quail,0
Ophrysia superciliosa,Himalayan Quail,0
Pternistis hartlaubi,Hartlaub's Francolin,1
Pternistis nobilis,Handsome Francolin,1
Pternistis camerunensis,Cameroon Francolin,0
Pternistis castaneicollis,Chestnut-naped Francolin,2
Pternistis erckelii,Erckel's Francolin,10
Pternistis ochropectus,Djibouti Francolin,0
Pternistis bicalcaratus,Double-spurred Francolin,3
Pternistis icterorhynchus,Heuglin's Francolin,0
Pternistis ahantensis,Ahanta Francolin,0
Pternistis griseostriatus,Gray-striped Francolin,0
Pternistis squamatus,Scaly Francolin,3
Pternistis adspersus,Red-billed Francolin,2
Pternistis capensis,Cape Francolin,6
Pternistis natalensis,Natal Francolin,8
Pternistis hildebrandti,Hildebrandt's Francolin,3
Pternistis jacksoni,Jackson's Francolin,2
Pternistis swierstrai,Swierstra's Francolin,0
Pternistis clappertoni,Clapperton's Francolin,2
Pternistis harwoodi,Harwood's Francolin,2
Pternistis swainsonii,Swainson's Francolin,7
Pternistis leucoscepus,Yellow-necked Francolin,5
Pternistis rufopictus,Gray-breasted Francolin,1
Pternistis afer,Red-necked Francolin,6
